Language,RelativePath,Value,Note
Portugues,conditions/Complications.csv,30,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Complications.csv,31,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Complications.csv,32,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Complications.csv,33,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Complications.csv,34,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Complications.csv,35,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Complications.csv,4,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Complications.csv,5,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Complications.csv,6,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Complications.csv,7,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Complications.csv,8,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Complications.csv,9,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,1,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,10,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,11,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,12,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,13,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,14,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,15,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,16,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,17,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,18,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,19,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,2,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,20,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,21,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,22,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,23,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,24,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,25,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,26,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,27,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,28,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,29,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,3,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,30,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,31,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,32,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,33,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,34,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,35,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,36,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,37,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,38,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,39,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,4,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,40,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,41,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,42,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,43,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,44,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,45,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,46,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,47,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,48,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,49,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,5,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,50,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,51,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,52,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,53,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,54,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,55,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,56,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,57,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,58,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,59,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,6,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,60,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,61,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,62,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,63,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,64,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,65,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,66,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,67,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,68,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,69,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,7,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,70,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,71,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,72,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,73,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,74,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,75,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,76,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,77,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,78,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,79,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,8,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,80,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,81,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,82,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Symptoms.csv,9,Nuevo en English. Falta traducir la primera columna.
Portugues,demographics/Country.csv,1,Nuevo en English. Falta traducir la primera columna.
Portugues,demographics/Country.csv,10,Nuevo en English. Falta traducir la primera columna.
Portugues,demographics/Country.csv,100,Nuevo en English. Falta traducir la primera columna.
Portugues,demographics/Country.csv,101,Nuevo en English. Falta traducir la primera columna.
Portugues,demographics/Country.csv,102,Nuevo en English. Falta traducir la primera columna.
Portugues,demographics/Country.csv,103,Nuevo en English. Falta traducir la primera columna.
Portugues,demographics/Country.csv,104,Nuevo en English. Falta traducir la primera columna.
